Heart Rate (bpm),Peak Acceleration (m/s²),Alarm
55,0.8,0
45,3.5,1
120,1.2,1
135,4.8,0
140,5.2,1
50,0.6,0
42,0.9,1
125,0.7,1
130,4.5,0
60,0.5,0
40,0.4,1
145,5.5,0
150,6.0,1
48,0.3,1
110,1.0,1
138,4.2,0
52,0.7,0
46,3.8,1
122,1.1,1
140,5.0,0
58,0.6,0
43,3.9,1
118,1.3,1
132,4.7,0
141,5.3,1
51,0.5,0
44,0.8,1
127,0.9,1
136,4.6,0
62,0.4,0
39,0.3,1
147,5.4,0
149,5.8,1
49,0.2,1
115,1.0,1
137,4.3,0
53,0.6,0
47,3.7,1
123,1.2,1
139,5.1,0
57,0.5,0
41,3.6,1
119,1.4,1
134,4.9,0
142,5.4,1
54,0.7,0
45,0.9,1
126,0.8,1
131,4.4,0
61,0.4,0
38,0.3,1
146,5.6,0
148,5.9,1
50,0.2,1
114,1.1,1
136,4.1,0
52,0.5,0
46,3.5,1
121,1.3,1
140,5.0,0
56,0.6,0
42,3.8,1
117,1.2,1
133,4.8,0
143,5.5,1
55,0.7,0
44,0.9,1
128,0.8,1
129,4.6,0
63,0.5,0
37,0.4,1
145,5.7,0
147,6.0,1
48,0.3,1
113,1.0,1
138,4.2,0
51,0.6,0
43,3.9,1
124,1.1,1
141,5.3,0
59,0.5,0
40,3.7,1
116,1.4,1
135,4.9,0
144,5.4,1
53,0.7,0
45,0.8,1
125,0.9,1
130,4.5,0
60,0.4,0
39,0.3,1
146,5.5,0
149,5.8,1
49,0.2,1
112,1.0,1
137,4.3,0
54,0.6,0
47,3.6,1
122,1.3,1
139,5.1,0
58,0.5,0
41,3.8,1
118,1.2,1
134,4.7,0
142,5.2,1
55,0.7,0
44,0.9,1
127,0.8,1
132,4.4,0
62,0.4,0
38,0.3,1
145,5.6,0
148,5.9,1
50,0.2,1
113,1.1,1
136,4.1,0
52,0.5,0
46,3.5,1
121,1.3,1
140,5.0,0
56,0.6,0
42,3.9,1
117,1.2,1
133,4.8,0
143,5.5,1
54,0.7,0
45,0.8,1
128,0.9,1
129,4.6,0
63,0.5,0
37,0.4,1
146,5.7,0
147,6.0,1
48,0.3,1
114,1.0,1
138,4.2,0
51,0.6,0
43,3.8,1
124,1.1,1
141,5.3,0
59,0.5,0
40,3.6,1
116,1.4,1
135,4.9,0
144,5.4,1
53,0.7,0
45,0.8,1
125,0.9,1
130,4.5,0
60,0.4,0
39,0.3,1
146,5.5,0
149,5.8,1
49,0.2,1
112,1.0,1
137,4.3,0
54,0.6,0
47,3.6,1
122,1.3,1
139,5.1,0
58,0.5,0
41,3.8,1
118,1.2,1
134,4.7,0
142,5.2,1
55,0.8,0
45,3.5,1
120,1.2,1
135,4.8,0
140,5.2,1
50,0.6,0
42,0.9,1
125,0.7,1
130,4.5,0
60,0.5,0
40,0.4,1
145,5.5,0
150,6.0,1
48,0.3,1
110,1.0,1
138,4.2,0
52,0.7,0
46,3.8,1
122,1.1,1
